sku,name,price
490414294,"Парфюмерная вода для мужчин SELECTIVE Elegant fougere, 60мл",3869
411662545,"Духи женские стойкие вишневые BOHEMIA CHERRY EXTASY, 50 мл",1607
490444931,"Парфюмерная вода для мужчин SELECTIVE Royal Chypre, 60мл",3869
506063601,"Женская парфюмерная вода свежая La Mia Venezia, 10мл",676
114858899,Духи мужские акватические New York ONE 90 мл,462
490421317,"Парфюмерная вода для мужчин SELECTIVE Ice Essence, 60мл",3869
506048351,"Женская парфюмерная вода цветочная La Mia Firenze, 10мл",676
38674957,"Духи женские стойкие фруктовые BOHEMIA IN BLACK, 50 мл",987
245203536,Духи женские стойкие набор пробников 5 шт по 2 мл,383
577260169,"Духи женские набор BOHEMIA СOLORED DIAMONDS, 4 штуки по 2 мл",383
411504532,"Духи женские стойкие восточные BOHEMIA FORBIDDEN LOVE, 50 мл",1607
415525896,"Духи женские цветочные Galvanoliori FLORAL WHITE, 50 мл",485
23791008,Духи женские со шлейфом императрица New York FOUR 50 мл,462
411365420,"Духи женские стойкие цитрусовые BOHEMIA SUN DROP, 50 мл",1607
12190440,"Духи мужские цветочные стойкие Gentleman 3, 100 мл",857
506075389,"Женская парфюмерная вода сладкая La Mia Verona, 10мл",676
38674964,"Духи женские табак ваниль BOHEMIA NIGHT DREAMS, 50 мл",987
21013824,"Духи женские стойкие свежие Mademoiselle 13, 50 мл",767
23791015,Духи женские фужерные свежие New York ELEVEN 50 мл,462
415571650,"Духи женские сладкие Galvanoliori MAGONOLIA DIVINE, 50 мл",485
415498429,"Духи женские императрица Galvanoliori PINK MARMELAD, 50 мл",485
114905354,Духи мужские древесные New York EIGHT 90 мл,451
420775538,"Духи мужские фужерные Galvanoliori CEDAR WOOD, 100 мл",552
466504507,"Духи мужские GENTLEMAN, набор пробников 7шт. по 2 мл",383
466534459,"Духи мужские GENTLEMAN, набор пробников 7шт. по 2 мл",383
416973739,"Духи женские восточные Galvanoliori GOLD TALISMAN, 50 мл",485
420736595,"Духи мужские цитрусовые Galvanoliori LIGHT MOSS, 100 мл",552
420755223,"Духи мужские цитрусовые Galvanoliori SPACE BLUE, 100 мл",552
420710677,"Духи мужские древесные Galvanoliori DEEP OCEAN, 100 мл",552
420728273,"Духи мужские свежие Galvanoliori ULTIMATE GREY, 100 мл",552
420762134,"Духи мужские древесные Galvanoliori AQUA SKY, 100 мл",552
415453606,"Духи женские с вишней стойкие Galvanoliori CHERRY JEM, 50 мл",485
