brand,category,WB_ID,name,article,skus,price,discount,discountedPrice,clubDiscount,clubDiscountedPrice,spp,wb_price,personal_discount,personal_price,cost_price,profit,"markup, %"
PARFUMS CONSTANTINE,Духи,245203536,Духи женские стойкие набор пробников 5 шт по 2 мл,BOHEMIAS000002,['4607817711257'],2000,69,620,1,613.8,33,414.0,7.0,385.0,200.0,413.8,307
,Туалетная вода,100637611,"Духи мужские фужерные New York FOUR, 90 мл",NYMEN000003,['4607817710885'],2000,63,740,1,732.6,32,495.0,7.0,460.0,177.0,555.6,414
PARFUMS CONSTANTINE,Духи,466504507,"Духи мужские GENTLEMAN, набор пробников 7шт. по 2 мл",PCMINI000002,['4607817711660'],2000,69,620,0,620.0,33,414.0,7.0,385.0,215.0,405.0,288
PARFUMS CONSTANTINE,Духи,466534459,"Духи мужские GENTLEMAN, набор пробников 7шт. по 2 мл",PCMINI000003,['4607817711684'],2000,69,620,0,620.0,33,414.0,7.0,385.0,215.0,405.0,288
PARFUMS CONSTANTINE,Духи,466545270,"Духи женские MADEMOISELLE, набор пробников 7 шт. по 2 мл",PCMINI000001,['4607817711677'],2000,69,620,0,620.0,33,414.0,7.0,385.0,220.0,400.0,282
PARFUMS CONSTANTINE,Духи,612997470,"Духи женские набор BOHEMIA BLACK & WHITE, 4 шт по 2 мл",BOHEMIAB000006,['4607817712582'],2000,25,1500,0,1500.0,,,,,,,
PARFUMS CONSTANTINE,Духи,577225812,"Духи женские набор пробников LA MIA ITALIA, 4 штуки по 2 мл",PCLM000011,['4607817712452'],2000,25,1500,0,1500.0,,,,,,,
PARFUMS CONSTANTINE,Туалетная вода,21013825,"Духи женские ванильные со шлейфом Mademoiselle 14, 50 мл",PCM000004,['4603720462248'],4000,69,1240,1,1227.6,32,829.0,7.0,770.0,202.0,1025.6,608
PARFUMS CONSTANTINE,Туалетная вода,12190439,"Духи женские стойкие со шлейфом Mademoiselle 6, 50 мл",INTERSHL000012,"['4603720462125', '4660001938281']",4000,68,1280,1,1267.2,32,856.0,7.0,796.0,163.0,1104.2,777
PARFUMS CONSTANTINE,Туалетная вода,12190432,"Духи мужские древесные стойкие Gentleman 6, 100 мл",INTERSHL000005,"['4603720462064', '4605994031458']",4000,62,1520,1,1504.8,32,1016.0,7.0,944.0,216.0,1288.8,697
